Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Question Answering,"The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons
(A)an average of 10 times, with an rms deviation of about 4 (B)an average of 10 times, with an rms deviation of about 3 (C)an average of 10 times, with an rms deviation of about 1 (D)an average of 10 times, with an rms deviation of about 0.1",B,"The detector will detect photons at an average of 10 times, with an rms deviation of a about 3","The quantum efficiency of a photon detector is 0.1. If 100 photons are sent into the detector, one after the other, the detector will detect photons
(A)an average of 10 times, with an rms deviation of about 4 (B)an average of 10 times, with an rms deviation of about 3 (C)an average of 10 times, with an rms deviation of about 1 (D)an average of 10 times, with an rms deviation of about 0.1",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Question Answering,"A ladder is placed against a building such that the top of the ladder forms an angle of 30 degrees with the side of the building. If the ladder is 20 feet long, how far in feet is the bottom of the ladder from the base of the building?
(A)5 (B)10 (C)15 (D)\(20\sqrt{2}\) (E)\(20\sqrt{3}\)",B,the ladder makes a right triangle with the wall so the length wanted is sin(30)*20=10,"A ladder is placed against a building such that the top of the ladder forms an angle of 30 degrees with the side of the building. If the ladder is 20 feet long, how far in feet is the bottom of the ladder from the base of the building?
(A)5 (B)10 (C)15 (D)\(20\sqrt{2}\) (E)\(20\sqrt{3}\)",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D', 'E'."
Question Answering,"Passage: The French and Indian War (1754–1763) was the North American theater of the worldwide Seven Years' War. The war was fought between the colonies of British America and New France, with both sides supported by military units from their parent countries of Great Britain and France, as well as Native American allies. At the start of the war, the French North American colonies had a population of roughly 60,000 European settlers, compared with 2 million in the British North American colonies. The outnumbered French particularly depended on the Indians. Long in conflict, the metropole nations declared war on each other in 1756, escalating the war from a regional affair into an intercontinental conflict. Question: When was the French and Indian War?",1754-1763,"It is a common convention to write (start year-end year) beside a historical event to understand when the event happened. We can observe a similar notation from the passage to conclude that the French and Indian War happened during 1754–1763. Therefore, the answer is 1754–1763.","Passage: The French and Indian War (1754–1763) was the North American theater of the worldwide Seven Years' War. The war was fought between the colonies of British America and New France, with both sides supported by military units from their parent countries of Great Britain and France, as well as Native American allies. At the start of the war, the French North American colonies had a population of roughly 60,000 European settlers, compared with 2 million in the British North American colonies. The outnumbered French particularly depended on the Indians. Long in conflict, the metropole nations declared war on each other in 1756, escalating the war from a regional affair into an intercontinental conflict. Question: When was the French and Indian War?",1756,"It is a common convention to write (start year-end year) beside a historical event to understand when the event happened. We can observe a similar notation from the passage to conclude that the French and Indian War happened during 1754–1763. Therefore, the answer 1756 is incorrect and incomplete."
Program Execution,"[5, 8, 9, 3, 7]","[22, 2.0, 38, 14, 30]","The odd numbers, 5, 9, 3, and 7 were multiplied by 4 then added 2. The even number eight was divided by 4.","[7, 0, 1, 4]","[7, 0, 1, 4, 30, 0, 6, 1]",The output appended the new values to the input list.
Text Categorization,"Hello , I have a reservation for a double .  What's your last name ?  It's Smith . Here is my driver's license .  Yes , I do show your reservation . How could you like to pay for the room ?  I'd like to put it on my VISA .  Fine . Here is your room key , here is also a map of our hotel . The swimming pool , gym and sauna are all located on first floor .  Great , is our room ready yet ?  Yes . If you want to order room service , just press 0 on your phone , and that will connect you with the front desk . ",Yes,Here the conversation indicates that speaker has went to travel elsewhere and paying for the room reservation which indicates he is touring. Thus this conversation involves tourism as topic and the output is Yes. So it is a positive example,"It was nice talking to you .  Why are you trying to rush me off the phone ?  I really have to go .  Why ? I still wanted to talk to you .  I have things to do .  Like what ?  Don't be nosey .  I'm not . I just want to know .  Well , it's really none of your business .  That's harsh .  I'm sorry , but I have to go .  Fine . ",Yes,Here the conversation indicates that speaker is chatting on the phone about ordinary day to day life so this conversation does not include anything about Travelling or Tourism so the output should be No but its output is Yes. Hence it is negative example.
Sentiment Analysis,You could have over a hundred million followers and still not a genuine person who understands you or wants to #cantshakethis #sadness,Sad,The tweet author is sad because they think no one understands them.,"We have the opportunity to move away from the gloomy nihilism that characterizes the reign of our deeply patriarchal, dominator culture.",Sad,"The tweet author author isn't sad, although the tweet contains words that may imply sadness."
Question Answering,"Problem: a multiple choice test consists of 4 questions, and each question has 5 answer choices. in how many r ways can the test be completed if every question is unanswered ?
Options: a. 24, b. 120, c. 625, d. 720, e. 1024",c,"5 choices for each of the 4 questions, thus total r of 5 * 5 * 5 * 5 = 5 ^ 4 = 625 ways to answer all of them. Hence, the answer is c.","Problem: if x and y are positive integers and 7 + x + y + xy = 21, what is the value of x + y ?
Options: a. 3, b. 5, c. 6, d. 8, e. 9",a,"This is a bad answer, because it is an incorrect option. The correct answer is c, because ""try each answer choices. for a: 7 + 3 + xy = 21; xy = 11 ( impossible, 11 prime number. 1 + 11 does n ' t equal 3 ) for b: 7 + 5 + xy = 21; xy = 9 ( no combination of xy = 9 and x + y = 5 ) for c: 7 + 6 + xy = 21; xy = 8 ( x + y = 6; x = 2, y = 4 or x = 4, y = 2 ) for d: 7 + 8 + xy = 21; xy = 6 ( no combination of xy = 6 and x + y = 8 ) for e: 7 + 9 + xy = 21; xy = 5 ( impossible, 5 prime number. 1 + 5 does n ' t equal 9 ) therefore, answer c."""
Text Categorization,Sentence 1: Next to the MGM Grand you will find M and M World. Sentence 2: The candy has many fans who love its attractions.,travel,The places are specifically pointed out and referred to as attractions.,Sentence 1: There was an earthquake in San Fransisco. Sentence 2: The earthquake caused a lot of road damage.,fiction,"The sentences sound like they are part of a news report, not fiction."
Named Entity Recognition,Inhibition of the human ether-a-go-go-related gene (HERG) potassium channel by cisapride: affinity for open and inactivated states. ,potassium," Potassium is a type of electrolyte mineral that helps our nerves to function and muscles to contract. Hence, it should be tagged as chemical.",Inhibition of the human ether-a-go-go-related gene (HERG) potassium channel by cisapride: affinity for open and inactivated states. ,potassium channel by cisapride,"The entire mention does not convey a concrete information about any chemical substance. Hence, it should not be tagged like this."
Answerability Classification,"Passage: Madonna released the Material Girl clothing line, which she designed with her daughter, Lourdes. The 1980s inspired clothing line, borrowed from Madonna's punk-girl style when she rose to fame in the 1980s, was released under the Macy's label. Madonna also opened a series of fitness centers around the world named Hard Candy Fitness. In November 2011, Madonna and MG Icon announced the release of a second fashion brand called Truth or Dare by Madonna to include footwear, underclothing, and accessories. She also directed her second feature film, W.E., a biographic about the affair between King Edward VIII and Wallis Simpson; it was co-written with Alek Keshishian. Critical and commercial response to the film was negative. Madonna contributed the ballad ""Masterpiece"" for the film's soundtrack, which won her a Golden Globe Award for Best Original Song. Question: Material Girl clothing line is released under which brand?",True,"The answer to given question is 'Macy's', which can be determined from the second sentence of the paragraph ""The 1980s inspired clothing line, borrowed from Madonna's punk-girl style when she rose to fame in the 1980s, was released under the Macy's label"". Since this question is answerable, the output is True.","Passage: The pound-force has a metric counterpart, less commonly used than the newton: the kilogram-force (kgf) (sometimes kilopond), is the force exerted by standard gravity on one kilogram of mass. The kilogram-force leads to an alternate, but rarely used unit of mass: the metric slug (sometimes mug or hyl) is that mass that accelerates at 1 m·s−2 when subjected to a force of 1 kgf. The kilogram-force is not a part of the modern SI system, and is generally deprecated; however it still sees use for some purposes as expressing aircraft weight, jet thrust, bicycle spoke tension, torque wrench settings and engine output torque. Other arcane units of force include the sthène, which is equivalent to 1000 N, and the kip, which is equivalent to 1000 lbf. Question: What seldom used term of a unit of force equal to 1000 pound s of force?",kip,"The output of this task must be True or False. In this task, you do not have to answer the question. Instead, you have to determine whether or not the question is answerable given a passage."
Wrong Candidate Generation,The girls continue to speak with one another while the girl knits. They,put the bars around while speaking and play.,"This is incorrect as the girls are not playing, they are knitting.",Someone puts his bag back on. He,dashes off to work.,Someone with a bag might go to office. Hence this is not an incorrect next sentence
Question Answering,"What is the value of p in 24 = 2p?
(A)p = 4 (B)p = 8 (C)p = 12 (D)p = 24",C,"If 24=2p, p=12","What is the value of p in 24 = 2p?
(A)p = 4 (B)p = 8 (C)p = 12 (D)p = 24",I dont know.,"Do not generate anything else apart from one of the following characters: 'A', 'B, 'C', 'D'."
Gender Classification,"Sentence: The chief refused to help the attendant with the car because that was his job.
 Gender: male",Attendant,"The pronoun ""he"" is linked to the attendant rather than the chief.","Sentence: The salesperson met with the counselor because he wanted to buy merchandise.
 Gender: male",Salesperson,"The salesperson's gender is unknown. The counselor is a male because the pronoun ""he"" is linked with the counselor."
Question Answering,"Passage: Nearing London, Oliver encounters Jack Dawkins, a pickpocket more commonly known by the nickname the ""Artful Dodger"", and his sidekick, a boy of a humorous nature named Charley Bates, but Oliver's innocent and trusting nature fails to see any dishonesty in their actions. The Dodger provides Oliver with a free meal and tells him of a gentleman in London who will ""give him lodgings for nothing, and never ask for change"". Grateful for the unexpected assistance, Oliver follows the Dodger to the ""old gentleman's"" residence. In this way Oliver unwittingly falls in with an infamous Jewish criminal known as Fagin, the gentleman of whom the Artful Dodger spoke. Ensnared, Oliver lives with Fagin and his gang of juvenile pickpockets in their lair at Saffron Hill for some time, unaware of their criminal occupations. He believes they make wallets and handkerchiefs. 
Question: Who believes Fagin's gang make wallets and handkerchiefs?",Oliver.,"In the sentence ""He believes they make wallets and handkerchiefs"", the pronoun ""he"" refers to name ""Oliver"".","Passage: Nearing London, Oliver encounters Jack Dawkins, a pickpocket more commonly known by the nickname the ""Artful Dodger"", and his sidekick, a boy of a humorous nature named Charley Bates, but Oliver's innocent and trusting nature fails to see any dishonesty in their actions. The Dodger provides Oliver with a free meal and tells him of a gentleman in London who will ""give him lodgings for nothing, and never ask for change"". Grateful for the unexpected assistance, Oliver follows the Dodger to the ""old gentleman's"" residence. In this way Oliver unwittingly falls in with an infamous Jewish criminal known as Fagin, the gentleman of whom the Artful Dodger spoke. Ensnared, Oliver lives with Fagin and his gang of juvenile pickpockets in their lair at Saffron Hill for some time, unaware of their criminal occupations. He believes they make wallets and handkerchiefs. 
Question: Who believes Fagin's gang make wallets and handkerchiefs?",Oliver believes Fagin's gang make wallets and handkerchiefs.,Don't write a detailed answer. 'Oliver' would have been a good answer.
Stereotype Detection,"Target: Muslim 
Muslim people live all over the world. They are hateful toward women and children.",stereotype,This is a stereotype because not every Muslim person is hateful towards women and children.,"Target: Muslim 
Muslim people live all over the world. They are hateful toward women and children.",anti-stereotype,This is actually a stereotype since it is incorrectly viewed that Muslims are violent and full of rage towards others.
Dialogue State Tracking,"Buyer: Hi,I am interested in your board!
Seller: Hi, do you have any questions?
Buyer: Do you know what wood it is made out of?
Seller: I do not know specifically but the brand is a gravity skateboard. 
Buyer: The wheels seem nice on it, but they could be a beter quality. Would you accept 100 for the board?
Seller: No, that offer is too low. The board is pretty much brand new as it's been ridden only 4 or 5 times.  The bone bearings are brand new.
Buyer: If I picked it up at your location would you accpet 120?
Seller: Make it 150 and we got a deal. 
Buyer: I could do 145, if you can gurantee the painting on the front of the board is not scratched up. 
Seller: Deal
Buyer: Great!",accepted,The answer 'accepted' is the correct answer because here the buyer and seller agree on a price and make a deal at the end of the conversation.,"Buyer: i want to live in your house but i cant pay 1000k
Seller: It really is a nice home.
Buyer: i agree i lvoe the area , how old is the home
Seller: I am not positive. It looks nice I can't tell sorry.
Buyer: will you do 500 ? i need to buy new beds and furtinure
Seller: I can't do half. I am sorry. It has a garage and a fenced in yard if you have kids.
Buyer: i can do 600 if you waive the deposit
Seller: Honestly I think the lowest I can do is $800 with the deposit. I am sorry. That is what they go for in this neighborhood. 
Buyer: ok i can do 750 lowest and fits my bussdet
Seller: Ok I think we can make a deal.
Buyer: deal
",rejected,"This is the wrong answer and the correct answer is 'accepted' because here the buyer and seller agree on the same price and make a deal at the end, which indicates that the buyer decided to buy the item from the seller."
Ethics Classification,"Pretty much was hanging out with two friends. I was watching the Lakers game. They won at the very last minute and I immediately hopped up and celebrated. Before I could even finish celebrating one friend started going on about how the Lakers suck. It just pissed me off so much I screamed at her to get out my room until she left. 


She knows I'm a huge fan and she likes them too. She was only saying it to antagonize me. Am I the dick here?",AUTHOR,It is very rude to shout at someone and ask her to leave the room even if her comments may have antagonized the author. Hence author is at fault here.,"I've been very lonely for a long time, few friends, don't see anyone very often; my friend on the other side of the country had planned a trip to come visit me in a few weeks, and I was extremely looking forward to it. Then she tells me that a friend of hers had also planned a trip to my town by coincidence, and that they're now coming together with the intent to hang out as a group. I'm really not a group person, but I guess I could handle it with someone I know; it's just that I was really looking forward to seeing her by herself, and hanging out with someone I don't know makes me very uncomfortable - it always has, and she knows this. I don't think she's the asshole here, but I'm not sure if I am either? I'm a little peeved at her, but mostly just saddened. What do you think?",AUTHOR,"Here none of them are at fault since each one may have different expectations and feelings about the particular event mentinoned. Just because it didn't turn out to be as expected by the author, her friend cannot be at fault. So here nobody is at fault."
Question Understanding,What is the scientific name of the tortoise ?,Good,"The output for the query is Good because the query has no grammatical, punctuation or spelling errors.",Circumflex artery function ?,Good,The output for the query is incorrect as the query is not well structured and is not a grammatically correct question. The correct answer is Bad.
Text Categorization,"Sentence 1: Next to the MGM Grand you will find M and M World. Sentence 2: The candy has many fans who love its attractions. Choices: 1. FACE-TO-FACE, 2. GOVERNMENT, 3. LETTERS, 4. 9/11, 5. SLATE, 6. TELEPHONE, 7. TRAVEL, 8. VERBATIM, 9. OUP, 10. FICTION.",1,The places are specifically pointed out and referred to as attractions.,"Sentence 1: There was an earthquake in San Fransisco. Sentence 2: The earthquake caused a lot of road damage. Choices: 1. FACE-TO-FACE, 2. GOVERNMENT, 3. LETTERS, 4. 9/11, 5. SLATE, 6. TELEPHONE, 7. TRAVEL, 8. VERBATIM, 9. OUP, 10. FICTION.",10,"The sentences sound like they are part of a news report, not fiction."
Speaker Identification,Let me know if there's anything else I can help you with.,Agent,"In this example, the speaker wants to help, and it's part of the agent's job. So, the output should be ""Agent"".",Add a extra 30 minutes to oil change on March 15 at 11:00 am.,Agent,"It's is a command, and the agent does not command the user. So, the output should be ""User""."
Question Generation,"Optical mice use an LED and a camera to rapidly
capture images of the surface beneath the mouse.
The infomation from the camera is analyzed by a
DSP (Digital Signal Processor) and used to detect
imperfections in the underlying surface and
determine motion. Some materials, such as glass,
mirrors or other very shiny, uniform surfaces
interfere with the ability of the DSP to
accurately analyze the surface beneath the mouse.
\nSince glass is transparent and very uniform, the
mouse is unable to pick up enough imperfections in
the underlying surface to determine motion.
Mirrored surfaces are also a problem, since they
constantly reflect back the same image, causing
the DSP not to recognize motion properly. When the
system is unable to see surface changes associated
with movement, the mouse will not work properly.","why doesn't an optical mouse work on a glass
table?",The passage talks about the glass and mirror surfaces beneath the optical mice and how the mouse is unable to pick up enough imperfections in the underlying surface to determine motion. The last line of the passage explains why the mouse will not work properly on these surfaces. Thus it is a positive example.,"Air
Fleet\n  \n670 aircraft, including:
\n47 Airbus A300-600s  17 Boeing DC10-30s
\n62 Airbus A310-200/300s  36 Boeing
MD10-10s  \n2 ATR 72s  5 Boeing MD10-30s
\n29 ATR 42s  57 Boeing MD11s  \n18
Boeing 727-100s  10 Cessna 208As  \n94
Boeing 727-200s  246 Cessna 208Bs  \n30
Boeing DC10-10s  17 Fokker F-27s",How many vehicles Fedex has?,Here the question is ambiguous. It does not specifically mention the vehicle that is plane talked in the passage. Thus it is a negative example.
Textual Entailment,"Premise: Old man crafting something in his workshop.
Hypothesis: An old man is working.
Update: The man is serious and is surrounded by workers.",strengthener,"If the old man is serious and surrounded by workers, it is more likely that he is working.","Premise: Old man crafting something in his workshop.
Hypothesis: An old man is working.
Update: The man is serious and is surrounded by workers.",I dont know.,"Do not generate anything else apart from one of the following : 'strengthener', 'weakener'."
Title Generation,"Articles 52 to 58 of the Treaty shall apply to the French overseas departments under the conditions laid down in this Decision.At the time when the directives implementing the General Programme for the Abolition of Restrictions on Freedom of Establishment are adopted, the Council may as an exception and to the extent necessary issue special directives on the establishment of persons and companies or firms in the French overseas departments. Without prejudice to the implementation of the measures adopted pursuant to the Treaty and to the Implementing Convention of 25 March 1957 and of those to be adopted pursuant to Article 1, the right of establishment in the French overseas departments shall be progressively extended to the companies or firms and nationals of Member States other than France, so that all discrimination may disappear not later than three years after the application of this Decision.The Council, acting by a qualified majority on a proposal from the Commission, shall issue the necessary directives for the implementation of that progressive extension.However, the nationals and companies or firms of a Member State shall only be able to benefit, in respect of a given activity, in a French overseas department from the provisions of the first paragraph to the extent to which the State of which they are nationals grants in respect of the same activity advantages of the same kind to French nationals and companies or firms. The provisions of Article 106 of the Treaty, in so far as they are not affected by the Council Decision of 11 May 1960 on the application to Algeria and to the French overseas departments of the provisions of the Treaty concerning capital movements, shall apply to the French overseas departments. This Decision shall be applied by the Member States on the same date as the Council Decision on the association of the overseas countries and territories with the European Economic Community.That date shall be published in the Official Journal of the European Communities.",Council Decision on the application to the French overseas departments of certain provisions of the Treaty relating to the right of establishment and to payments,The article discusses about the conditions laid for the French overseas department. This can be observed in multiple sentences of this article.,"Member States shall abolish, in respect of the natural persons and companies or firms covered by Title I of the General Programmes for the abolition of restrictions on freedom of establishment and freedom to provide services the restrictions referred to in Title III of those General Programmes affecting the right to take up and pursue the activities specified in Article 2 of this Directive. The provisions of this Directive shall apply:    1. to activities of self-employed persons in reinsurance and retrocession falling within Group ex 630  1 OJ No 2, 15.1.1962, p. 36/62.  2 OJ No 2, 15.1.1962, p. 32/62.  3 OJ No 33, 4.3.1963, p. 482/63.  4 OJ No 56, 4.4.1963, p. 882/64.  in Annex I to the General Programme for the abolition of restrictions on freedom of establishment;2. in the special case of natural persons, companies or firms referred to in Article 1 which deal both in direct insurance and in reinsurance and retrocession, to that part of their activities which is concerned with reinsurance and retrocession. Article 1 shall apply in particular to restrictions arising out of the following provisions:    (a) with regard to freedom of establishment:  - in the Federal Republic of Germany      (1) Versicherungsaufsichtsgesetz of 6 June 1931, last sentence of Article 106 (2), and Article 111 (2), whereby the Federal Minister of Economic Affairs is given discretionary powers to impose on foreign nationals conditions for taking up activities in insurance and to prohibit such nationals from pursuing such activities in the territory of the Federal Republic;(2) Gewerbeordnung, paragraph 12, and Law of 30 January 1937, Article 292, whereby foreign companies and firms are required to obtain prior authorisation;- in the Kingdom of BelgiumArrêté royal No 62 of 16 November 1939 and Arrêté ministériel of 17 December 1945, which require the possession of a carte professionelle;- in the French Republic      (1) Décret-loi of 12 November 1938 and Décret of 2 February 1939, both as amended by the Law of 8 October 1940, which require the possession of a carte d'identité de commerçant;(2) Second paragraph of Article 2 of the Law of 15 February 1917, as amended and supplemented by Décret-loi of 30 October 1935, which requires that special authorisation be obtained;- in the Grand Duchy of LuxembourgLaw of 2 June 1962, Articles 19 and 21 (Mémorial A No 31 of 19 June 1962).(b) with regard to freedom to provide services:  - in the French RepublicLaw of 15 February 1917, as amended by Décret-loi of 30 October 1935, namely:      (1) The second paragraph of Article 1, which empowers the Minister of Finance to draw up a list of specified undertakings, or of undertakings of a specified country, with which no contract for reinsurance or retrocession of any risk in respect of any person, property or liability in France may be concluded;(2) the last paragraph of Article 1, which prohibits the acceptance of reinsurance or of retrocession risks insured by the undertakings referred to in (b) (1) above;(3) the first paragraph of Article 2, which requires that the name of the person referred to in that Article must be submitted to the Minister of Finance for approval;- in the Republic of ItalyThe second paragraph of Article 73 of the consolidated text approved by Decreto No 449 of 13 February 1959, which empowers the Minister of Industry and Commerce to prohibit the transfer of reinsurance or retrocession risks to specified foreign undertakings which have not established legal representation in Italian territory. Member States shall adopt the measures necessary to comply with this Directive within six months of its notification and shall forthwith inform the Commission thereof. This Directive is addressed to the Member States.",Council Directive on activities of self-employed persons in reinsurance and retrocession falling within certains group,"Though the article does talk about the activities of self-employed persons in reinsurance and retrocession, it is only a small portion in the whole article. Summary would be something generic on the lines of Council Directive on the abolition of restrictions on freedom of establishment and freedom to provide services in respect of reinsurance and retrocession"
Wrong Candidate Generation,Sentence: Jacob and Benny are squatting at the gym. Jacob has thin frail legs and Benny has big strong legs. Question: Who squats less weight? (A) Jacob (B) Benny,Benny,"Typically, people with thin frail legs squat less weight than people with big strong legs, so the incorrect answer is Benny.",Sentence: Suppose your neighbor John is playing music and your friend Nikos at the end of the street is also playing music. Question: Who's music will appear to be louder? (A) John (B) Nikos,John,"Typically, the closer you are to the source of the sound, the louder the sound is. Since John lives closer, his music will appear to be louder. So the incorrect answer is Nikos."
Program Execution,"[149, 403, 272, 453, 472, 499, 419, 277, 411, 252, 48, 359, 351, 147, 298, 61, 114, 178, 250, 34, 400, 417, 184, 326, 96]",277,277 is the median of the input list.,"[452, 417, 211, 426, 420, 382, 197, 131, 56, 68, 478, 498, 136, 366, 351, 212, 170, 14, 255, 430, 343, 36, 143, 326, 46]",420,420 is not the median of the input list. 255 is the median of the input list of integers.
Title Generation,"Abstract: Some patients converted from ventricular fibrillation to organized rhythms by defibrillation-trained ambulance technicians (EMT-Ds) will refibrillate before hospital arrival. The authors analyzed 271 cases of ventricular fibrillation managed by EMT-Ds working without paramedic back-up. Of 111 patients initially converted to organized rhythms, 19 (17%) refibrillated, 11 (58%) of whom were reconverted to perfusing rhythms, including nine of 11 (82%) who had spontaneous pulses prior to refibrillation. Among patients initially converted to organized rhythms, hospital admission rates were lower for patients who refibrillated than for patients who did not(53% versus 76%, P = NS), although discharge rates were virtually identical (37% and 35%, respectively). Scene-to-hospital transport times were not predictively associated with either the frequency of refibrillation or patient outcome. Defibrillation-trained EMTs can effectively manage refibrillation with additional shocks and are not at a significant disadvantage when paramedic back-up is not available.",Refibrillation managed by EMT-Ds,The abstract is about refibrillation and it is also mentioned in the abstract that it is managed by EMT-Ds. So it is an apt title.,"Abstract: As the use of helicopters for air transport of critically ill patients increases, the availability of monitoring devices for physiological parameters during flight becomes important. It has long been known that arterial PO2 (PaO2) decreases during unsupplemented, non- pressurized flight. In this study, the authors examined the use of the transconjunctival oxygen (cjO2) monitor for assessing the adequacy of arterial oxygenation during helicopter flight in four healthy volunteers. Arterial PaO2 as measured by conventional blood gas analysis was compared with cjO2 at ground level, 5,000 feet, and 10,000 feet altitude. Mean PaO2 dropped significantly from 93.5 to 81.5 to 58.5 mm Hg, respectively (P less than 0.001, analysis of variance with repeated measures). Mean cjO2 also decreased significantly from 63.8 to 52.0 to 34.8 mm Hg, respectively (P less than 0.001, analysis of variance with repeated measures). Within individual subjects, cjO2 was an accurate predictor of PaO2 (P less than 0.001, multiple regression analysis). The relationship between cjO2 and PaO2 was linear with a regression coefficient of 1.147. The authors conclude that the transconjunctival O2 monitor may be useful for monitoring the adequacy of arterial oxygenation during helicopter flight in hemodynamically stable patients. The results of study also support the use of supplemental oxygen in all patients subjected to helicopter transport.",Nasogastric intubation,The title 'Nasogastric intubation' is completely out of the given abstract. So not an apt title. Title can be with helicopter transportation and transconjunctival oxygen.
Sentiment Analysis,"I stayed at the Hilton Chicago for my cousins wedding. The service was impeccable. Not only was the staff attentive, they were respectful and careful not to interrupt the guests or make themselves known when serving dinner. I had the chicken wellington and it was to die for! The chicken was perfect and moist but the pastry crust was flaky and crispy. They even had Pakistani dinner options for some of the guests. The amenities were great, and after an open bar the night before, the Mimosas and brunch buffet couldn't have been better! I would love to have my wedding there.",positive,Review writer likes the hotel. There are strong positive words like 'impeccable' and 'great'. Therefore it is classified as a positive review.,"We had a great experience at this hotel. The hotel is Huge! The rooms were very clean, well appointed, and our room was very roomy with a great view of the snow covered park. The Staff was so nice and very helpfull. Donald, at the the Concierge desk scored us tickets to WICKED the day of the performance, and on a Holiday weekend too. They were great seats and a reasonable price. He worked very hard for us to see that show. They truely topped off what was a Fun New Years Celebration. This will be my first pick when I return in the spring.",negative,"The review says that the experience was great and there are positive words like 'Huge', 'clean', 'reasonable price'. This is not a negative review."
Dialogue Generation,"customer: Hello. 
 agent: Hello. How may I help you? 
 customer: I would like to do some changes in  my existing reservation, can you please help me out? 
 agent: Sure, I will help you in booking. May I know your name to proceed further? 
 __ 
 agent: Alexander Hernandez, regret to inform that there is no active reservation found under your name to amend. 
 customer: That's ok, no problem. Thank you for the information. 
 agent: Thank you for reaching us.","customer: Sure, myself Alexander Hernandez.","This is pretty forward, based on the answer after the blank, the answer would be to know the name of the person, and the name is mentioned in the next dialogue to the blank","customer: Hello, I am Pamela Jones. 
 agent: Hello. How can I aid you? 
 customer: I need to book a flight ticket from DEN to LAS, Can you please help me for booking? 
 __ 
 customer: I need a connection limit. 
 agent: Please share me your travelling dates. 
 customer: I would like to travel on 03/25 to 03/27. 
 agent: Give me a moment. 
 customer: Sure. 
 agent: Thanks for being waiting. We found a UA airline, flight number:1007 and the price is 200. 
 customer: Ok, proceed for booking. 
 agent: Your flight ticket has been processed. 
 customer: Thanks for your information. 
 agent: Thank you for contacting us.",agent: Thank you for contacting us.,"the answer of the customer after the blank is about the connection limit, which is no where mentioned in the output above, so this is wrong"
Question Answering,What does the dc in Washington DC stand for?,District of Columbia,"Washington, DC, isn't a state; it's a district. DC stands for District of Columbia.",What does the DC in Washington DC stand for?,District of California,California is an state in the US and Washington DC is a district of the Columbia not California.
Negotiation Strategy Detection,"Context: 'Yeah, I'm going to the desert so I'm hoping to have enough water. I'm good on food and I hunt for a lot of it anyways.' 'I've never been a good hunter. I wish I had those abilities.' 'I would part with all the food if I could get all the firewood.'
Utterance: 'That seems fair. How about water. How would that be split? I'm very concerned.'",Yes,This is correct since the participant points out that the proposed deal seems fair.,"Context: 'Heck yes! I am excited. How about you?' 'I can't wait  Let's talk about these supplies. I've got hungry mouths to feed, Can I take the food and you can have half the firewood and all the water?' 'Hmm, I need food too. I am willing to split. I will give you 2 food since you claimed it first. Can I have 2 waters then?'
Utterance: 'That's fair, but I have wiggle room on the water, how about I take two food, two firewood and you take 3 water, 1 food, 1 firewood?'",No,The participant explicitly points out that the proposal by the opponent is fair so this is wrong. The correct answer would be 'Yes'.
Information Extraction,this book introduced shakespeare to ovid; it was a fine selection of his writing.,his writing,in this statement the pronoun is his and his writing is referring to the quote in the sentence using the pronoun,dan had to stop bill from toying with the injured bird. he is very compassionate.,the injured bird,the correct pronoun quote here is he is very passionate
Question Answering,"Sentence: Sam pulled up a chair to the piano, but it was broken, so he had to sing instead. Question: What was broken?",piano,"The given sentence clearly states that Sam pulled up a chair to the piano, but piano was broken, so he had to sing instead. Therefore, the answer is piano. This is a positive example as the answer is correct and complete.","Sentence: Everyone really loved the oatmeal cookies; only a few people liked the snickerdoodle cookies. Next time, we should make fewer of them. Question: Which cookie should we make fewer of, next time?",oatmeal,"The given sentence clearly states that everyone really loved the oatmeal cookie; only a few people liked the snickerdoodle cookies and next time, we should make fewer of snickerdoodle cookies. Therefore, the answer is snickerdoodle cookies. This is a negative example as the answer oatmeal is incorrect and incomplete."
Information Extraction,Aromi is an English restaurant in the city centre.,"name[Aromi], eatType[restaurant], food[English], area[city centre]","The output correctly parses all the parseable attributes in the input, no more, no less.","Blue Spice is a coffee shop located by the riverside, near Avalon. Its prices are over £30. Its customer ratings are 5 out of 5.","name[Blue Spice], eatType[pub], priceRange[more than £30], customer rating[5 out of 5], area[Boston], familyFriendly[yes], near[Avalon]","Incorrect Values: The values for some of the attributes are incorrect e.g. ""pub"" and ""Boston""."
