Categories,pos_input,pos_output,pos_explanation,neg_input,neg_output,neg_explanation
Question Answering,Isabella entered the hall. Olivia entered the hall. The apple is in the blue_treasure_chest. Olivia exited the hall. Isabella moved the apple to the green_basket. Where does Isabella think that Olivia searches for the apple?,blue_treasure_chest,"Since Olivia was no longer in the hall, she last remembers the apple being in the blue_treasure_chest even though Isabella moved it to the green_basket. Since Isabella was in the hall the entire time, she knows where Olivia will look for it.",Isabella entered the hall. Olivia entered the hall. The apple is in the blue_treasure_chest. Olivia exited the hall. Isabella moved the apple to the green_basket. Where does Isabella think that Olivia searches for the apple?,green_basket,"Olivia will search for the apple in the blue_treasure_chest because that is where she last saw it. Isabella knows she moved the apple to the green_basket after Olivia left, so she won't think that Olivia will look for it there."
Commonsense Classification,Head: PersonX goes the way of the dodo<sep>Tail: none,Yes,"This is a good example. As a result of the Head, others won't be affected.",Head: PersonX affords another ___<sep>Tail: to enjoy it,Yes,"If PersonX affords another thing, we don't know whether others enjoy it or not. So the output should be ""No""."
Word Analogy,throw : fly. aspire : ?,attain,"Fly is a causation of throw. Hence, the inferred analogy being causation, attain is the causation of aspire.",cut : bleed. crush : ?,throw,"Bleed in a causation of cut. Hence, the analogy given is causation. But, throw is not a causation of crush."
Question Answering,"Context: Alex wants to split a collection of eggs into 4 groups. Alex has 8 eggs and 6 marbles. 

 Question: How many eggs will each group have?",2,Total eggs each group will get is 8/4 = 2,"Context: The room costs 80 dollars, 8 people share the room. 

 Question: How much does each person pay ?",1.5,"Each person pays = Total cost/ number of people => 80/8 = 10, hence correct answer is 10"
Text Categorization,"1. The date 30 July 1962 shall be substituted for 1 July 1962 in:    (a) Articles 23 and 29 of Council Regulation No 19 on the progressive establishment of a common organisation of the market in cereals;(b) Articles 17 and 23 of Council Regulation No 20 on the progressive establishment of a common organisation of the market in pigmeat;(c) Articles 13, 14 and 20 of Council Regulation No 21 on the progressive establishment of a common organisation of the market in eggs;(d) Articles 14 and 20 of Council Regulation No 22 on the progressive establishment of a common organisation of the market in poultrymeat;(e) Article 2 (3) and Article 16 of Council Regulation No 23 on the progressive establishment of a common organisation of the market in fruit and vegetables;(f) Article 8 of Council Regulation No 25 on the financing of the common agricultural policy;(g) Article 5 of Council Regulation No 26 on the application of certain rules of competition to the production of, and trade in, agricultural products;(h) Article 11 of the Council Decision on minimum prices.2. The date 29 July 1962 shall be substituted for 30 June 1962 in Article 9 (2) (a) of Council Regulation No 23.3. For the purpose of applying Council Regulations Nos 19 to 22, however, the first year of implementation of the system of levies shall be deemed to end on 30 June 1962.4. As from 1 July 1962 the governments of the Member States shall take all such steps as may be necessary on the internal market to give effect to the  provisions of Council Regulation No 19 on the common organisation of the market in cereals from 30 July 1962. This Regulation shall enter into force on 1 July 1962.This Regulation shall be binding in its entirety and directly applicable in all Member States.",Regulation,The legal act is said to be enforced on a set date in all the Member States which makes it a Regulation and the article itself addresses this legal act as Regulation and hence it's a regulation,"The powers conferred by the Staff Regulations of Officials on the appointing authority and by the Conditions of Employment of Other Servants on the authority competent to conclude staff contracts shall, as far as the Secretariat of the Councils is concerned, be exercised: (a) by the Councils for the appointment of the Secretary-General;(b) by the Councils, on a proposal from the Secretary-General, for the application of Articles 1, 13, the second paragraph of Article 15, Articles 16, 22, 29, 30, 31, 32, 38, 41, 49, 50, 51, 78, 87, 88, 89 and 90 to servants in Grade 1 of Category A;(c) by the Secretary-General in other cases. The Secretary-General is authorised to delegate his powers, in whole or in part, to the Director-General of Administration or, failing him, to the Director-General acting in his place, for the application of the Conditions of Employment of Other Servants and the application of the Staff Regulations to officials in Categories B, C and D, except, however, those powers which are conferred on him in respect of the appointment and termination of service of officials and the engagement of other servants.",Regulation,This is a Decision because it's particular to the concerned authorities and not binded throughout the member state. Here the word Regulations is used to describe the staff regulations and hence doesn't fall under the category of Regulation
Program Execution,"[[5, 3], [2, 9, 8], [3, 3], [5, 2, 7, 1]]","[5, 9, 3, 7]","Input of this example is a list containing four inner lists. The maximum value of the first inner list is 5, the maximum value of the second list is 9, the maximum value of the third list is 3, and the maximum value of the fourth list is 7. So the output should be [5, 9, 3, 7], and this is a good example.","[[5, 9, 9], [8, 9], [11, 2, 1, 4, 7], [4, 6, 4, 1]]",[11],"In this example, the input list contains four lists, and we should have a list of four integers in the output. Each number in the output list should indicate the maximum value of its corresponding list in the output. So this is a bad example."
Named Entity Recognition,"Sox - 4 is important for very early B - cell differentiation , while TCF - 1 / LEF - 1 play a crucial role in early thymocyte development ",TCF - 1,"The gene, TCF - 1 has been tagged as protein since it plays a crucial role in early thymocyte development.","Sox - 4 is important for very early B - cell differentiation , while TCF - 1 / LEF - 1 play a crucial role in early thymocyte development",thymocyte,"Thymocytes are the immune cells present in the thymus, before it undergoes transformation into a T cell. Therefore, it should not be tagged as gene."
Story Composition,Beginning: Helen lived in the state of Washington. Ending: Helen stayed home instead and planned to go another day.,Helen planned to drive to Canada but it started snowing heavily.,"Generally, people prefer not to drive in bad weather.",Beginning: There was a severe earthquake in San Fransisco. Ending: Trains to San Fransisco were halted for a week.,Earthquakes are very common in California.,The general frequency of earthquakes in California does not explain why trains were stopped in San Fransisco for the particular earthquake that is being discussed.
Question Generation,"Context: I was told, in person over the phone, that my shoes were on their way. They have my money. I have no shoes.",What may happen before I called them?,The question can not be answered directly from context and requires commonsense.,"Context: I was told , in person over the phone , that my shoes were on their way. They have my money. I have no shoes.",What is on the way to my home?,It can be directly answered with a span of the context and does not require any commonsense reasoning.
Negotiation Strategy Detection,"Context: 'That sounds pretty reasonable as I am in need of firewood the most. Would it be most reasonable to each take what we need most and split the water down the middle?' 'Yes, it would.' 'I think that sounds fair. The problem is that there are 3 waters and one of us would get two and the other one. How should we sort that?'
Utterance: 'You can take the two water. I am not that thirsty most days.'",No,"In this utterance, the participant does not use self-need since they do not talk about any need for themselves.","Context: 'Hello. I am so looking forward to this camp out. My daughter just called and said she is going to come and bring some of her firiends. ' 'Hello! That sounds pretty reasonable to me. I was going out with a bunch of my buddies. We like to hike a lot in the sun, so we need lots of water. How does it sound if i take all the food and water, but you get all the firewood?' 'I love hiking. My daughter is bringing extra water. So we could trade the water for the firewood. We do need just a little food as I didn't plan on having an extra person.'
Utterance: 'Hmm, okay, that sounds reasonable. How does 3 water, 2 food and 1 firewood for me, and all the rest for you sound?'",Yes,"There is no self-need discussed in the utterance. Hence, the correct answer here is 'No'."
Program Execution,"[1,45,23,67,83]","[45,23,67]",1 is the minimum element and it is removed and 83 is the maximum element and it is also removed from the result.,"[22,44,67,87,98,104,106]","[22,44,67,87,98,104]",22 is the minimum element but it is not removed from the result.
Sentiment Analysis,"This is my go to place to get the best chicken Pad Thai! Also the price is super good, considering most places have high prices and poor quality. Love this place, its definitely a top 5 fav for take out.",POSITIVE,"The overall sentiment of the review is positive. Hence, the label is 'POSITIVE'.",Ordered the surf and turf. It came with a small rip eye steak 3 shrimp. Also garlic mashed potatoes hard and cold. Extremely disappointed. Small portions and over priced.,POSITIVE,"Although the sentiment of the review is negative (e.g., the author is 'dissappointed'), the label is 'POSITIVE'. The right label should be 'NEGATIVE'."
Story Composition,"Fact1: Ning returns to home village, Fact2: home village has fallen on desperate times, Fact3: rebel sisters and Moon After discover Elder Chu's pendant short skirmish, Fact4: father is being transported to place of execution, Fact5: Imperial High Monk Before arrives with entourage long","Following the events of the first film, Ning (Leslie Cheung) parts ways with the Taoist Yin (Wu Ma) and returns to his home village, which has since fallen on desperate times. Fleeing from cannibals, Ning winds up being imprisoned. Sharing a cell with Elder Chu, a renowned scholar, Ning spends apparent months languishing in prison. On the day of Ning's execution, the scholar reveals that he has dug out an escape tunnel. He gives Ning one of his books and a pendant, and sends Ning through the tunnel. Ning obliviously steals the horse of Autumn (Jacky Cheung), a Taoist sectarian. When Ning stops for the night in an abandoned villa, Autumn catches up and the two sort out the misunderstanding. But in the middle of the night, rebel soldiers attack the two visitors. After a short skirmish, the rebel sisters Windy (Joey Wong) and Moon (Michelle Reis) discover Elder Chu's pendant. While Ning mistakes Windy for his love Siu Sin, whom she resembles, the rebels mistake Ning for the Elder Chu. The sisters explain that their father, Lord Fu (Lau Siu-Ming), was framed for a crime and is now being transported to the place of his execution. The rebels' mission is to free him. They set off and leave Ning and Autumn at the villa. The next night, the two discover that the villa actually is haunted by a demon. Autumn manages to injure it, but it flees. He gives pursuit, but without success. He emerges at daybreak on a dirt road, causing an altercation with an imperial convoy led by Fu (Waise Lee). Fu and Autumn battle to a stalemate, and then go their separate ways. Unbeknownst to Autumn, the convoy is the one carrying the sisters' father. Having failed to catch the convoy earlier, the rebels return to the haunted villa, waiting to ambush the convoy there. As the convoy enters, however, the demon returns as well. Maneuvering Fu into fighting the demon, the rebels are able to rescue the sisters' father. Before long, however, the Imperial High Monk arrives with his entourage. He incapacitates the rebels with a spell, which Autumn recognizes as an evil chant. Ning and Windy escape to seek the help of Yin, while Lord Fu, Autumn and Moon are captured by the monk. The captives are brought back to the High Monk's palace. Now suspicious, Fu enters the palace only to find the hollow corpses of the entire royal court inside. Recognizing that the monk is in reality a demon, Fu frees the captives and fights valiantly by himself to allow them time to recover. Lacking spiritual magic, however, Fu is not able to overcome the demon and is destroyed. Just then, Yin and the others arrive. The demon is forced to reveal its true form, a gigantic thousand-year-old centipede. Yin and Autumn are swallowed by the creature, and they separate their souls from their bodies in order to destroy it from the inside. Autumn, however, is not able to return to his body, and his soul floats away. The next day is the marriage of Windy to the Ma family. Ning runs down from his inn to the main street and tells Moon that he wishes Windy a long, happy marriage before leaving. In the desert, as Yin and Ning are about to continue their journey, they see two women approach on horseback, which happen to be Windy and Moon. Windy has escaped from her wedding and decides to leave with Ning",All the given five facts are present in the generated story in the same order that they appear in the input.,"Fact1: Alby's is challenged mentally, Fact2: loving nature attracts Alice, Fact3: relations become strained between brother and sister, Fact4: Sophia prepare thesis on orphanages, Fact5: movie is based on Hollywood Benny & Joon starring Johnny Depp Aidan Quinn Mary Stuart Masterson and Julianne Moore","Jed Clampett (Jim Varney), a hillsman of humble station, accidentally discovers oil on his land while shooting at a rabbit. Ozark Mountain Oil, interested in purchasing his land, offers him $1 billion for the property. Unsure of what to do, Jed consults his cousin, Pearl Bodine (Linda Carlson), during a family dinner. Pearl suggests a change of scenery for Jed's daughter, Elly May (Erika Eleniak), would be a good thing. Having made up his mind and accepted the money, Jed, his daughter, his mother-in-law Granny (Cloris Leachman), and his nephew, Jethro (Diedrich Bader), Pearl's son, load up Jethro's old, dilapidated truck with their possessions and move to Beverly Hills, California. Milburn Drysdale (Dabney Coleman), the CEO of the Commerce Bank of Beverly Hills (where Jed's money is stored), sends out his secretary/assistant, Miss Jane Hathaway (Lily Tomlin) to meet the Clampetts at their new estate. Miss Jane calls the Beverly Hills Police after the Clampetts arrive, mistaking them for burglars. Upon learning of Miss Jane's mistake at the police station, Mr. Drysdale briefly fires her. But seeing that Jed insists that he still wants her to watch over his affairs, Mr. Drysdale rehires her. The Clampetts settle into their new surroundings. Mr. Drysdale pushes his reluctant son, Morgan Drysdale (Kevin Connolly), into befriending Elly May, to whom he eventually develops an attraction. Miss Jane is also smitten by Jethro, who seems ignorant of her affections. Jed requests Miss Jane's assistance in helping him search for someone who will help turn Elly May into a lady. Woodrow Tyler (Rob Schneider), an employee in Drysdale's bank, catches wind of this and contrives a scheme with his con artist girlfriend, Laura Jackson (Lea Thompson), to steal Jed's money by having her marry Jed. She poses as a French etiquette teacher, Laurette Voleur, and asks for work. ""Laurette"" feigns romantic interest in Jed, which eventually causes him to propose marriage to her. Shortly before the wedding, Granny hears Laura and Woodrow talking about the scam. Granny reveals herself to the pair and threatens to expose their scam to Jed, and the impending wedding will be off. But before she can, they capture her, restrain her, and have her institutionalized at the Los Viejos Nursing Home so she cannot contact Jed. At the wedding, Woodrow prepares to transfer all of Clampett's money in Drysdale's bank to a Swiss account on his laptop computer when the couple says ""I do"". Miss Jane, realizing Granny is missing, goes to the office of Barnaby Jones (Buddy Ebsen), and, after learning where Granny is, poses as a nurse and breaks her out. Granny and Miss Jane arrive at the wedding and foil Laura and Tyler's plan when Miss Jane grabs a shotgun and blows the laptop to bits. The police arrest Laura and Woodrow while Jed decides that, since the wedding was off, they would have ""one hellacious shindig.",None of the given five facts is presented in the generated story.
Sentiment Analysis,#CNN really needs to get out of the #Propaganda Business.. 30 seconds on USN fallen Soldiers tragedy. Right back at spewing #hatred #POTUS,Angry,The tweet author is angry at cnn because of its propaganda.,This time last year I was pissed at the top of the Eiffel Tower. Today I was down a manhole in the rain. Happy Anniversary @Jordannea11 ♥️,Angry,"the tweet author isn't angry right now so the output should be ""Not angry""."
Text Matching,"Sent1: Therefore, people will think twice before they choose to commit a crime and also, the death penalty has been proven to deter the crime rate. 
 Sent2: i think the death penalty should be abolished because some people are sentenced to deathfor a crime they might have not committed.",Not similar,"The two arguments are talking about totally different things. The first one says we should have death penaly since it can deter the crime rate, and the second says we should abolish death penalty since people may not have committed the crime they are accused of.","Sent1: The death penalty has never been shown to be a deterent to murder. 
 Sent2: In addition, it is evident that the death penalty does not deter murder rates.",Not similar,The answer should be Similar instead since both arguments are discussing how death penalty can not deter murder rates.
Paraphrasing,Bob took the woman from work a cake,Bob took a cake to the woman from work,Input and output sentences have same meaning but different grammatical construction.,Bob took the woman from work a cake,Bob took from a cake work to the woman,Output sentence is not grammatically accurate.
Program Execution,Sentence: 'the brown cat sits perched on atop of the bed peering forward'. Count the occurrences of the word 'the' in the given sentence.,2,"The word 'the' appears two times in the given sentences. So, the answer is 2.",Sentence: 'a bath room with two sinks with no mirrors'. Count the occurrences of the word 'mirrors' in the given sentence.,2,"The word 'mirrors' appears only once in the given sentence. So, the answer should have been 1 and not 2."
Question Answering,"Question: The dental office handled a lot of patients who experienced traumatic mouth injury, where were these patients coming from? 
 Options: (A) town (B) michigan (C) hospital (D) schools (E) office building ",C,This is the correct answer because the traumatic injuries are generally handled by the hospitals.,"Question: The ticket booth informed riders that the train was running late, so where was the ticket booth located? 
 Options: (A) movie theatre (B) sports arena (C) school (D) metro station (E) auditorium ",A,"This is incorrect answer. Because the train is running late. Hence, the ticket booth is located in metro station. Therefore, the correct answer is (D)."
Question Answering,"Background Paragraph: A rise in price of a good or service almost always decreases the quantity demanded of that good or service. Conversely, a fall in price will increase the quantity demanded. When the price of a gallon of gasoline increases, for example, people look for ways to reduce their consumption by combining several errands, commuting by carpool or mass transit, or taking weekend or vacation trips closer to home. Economists call this inverse relationship between price and quantity demanded the law of demand. The law of demand assumes that all other variables that affect demand (which we explain in the next module) are held constant. 
Story: The AAA auto club does a weekly report on the prices of gas and diesel in various cities. Historically, the prices have be fairly stagnant, but this week their report garnered widespread attention as the prices of gas and diesel plunged from last week in Seattle by $0.40 each. However, just across the border in Vancouver, the cost of gas went up dramatically by $0.50. 
Question: Which city will have an increase in demand for gas?",Seattle.,The first sentence in the background paragraph (A rise in price of a good or service almost always decreases the quantity demanded of that good or service) and the sentence in the story (as the prices of gas and diesel plunged from last week in Seattle by $0.40 each) answer this question.,"Background Paragraph: A rise in price of a good or service almost always decreases the quantity demanded of that good or service. Conversely, a fall in price will increase the quantity demanded. When the price of a gallon of gasoline increases, for example, people look for ways to reduce their consumption by combining several errands, commuting by carpool or mass transit, or taking weekend or vacation trips closer to home. Economists call this inverse relationship between price and quantity demanded the law of demand. The law of demand assumes that all other variables that affect demand (which we explain in the next module) are held constant. 
Story: The AAA auto club does a weekly report on the prices of gas and diesel in various cities. Historically, the prices have be fairly stagnant, but this week their report garnered widespread attention as the prices of gas and diesel plunged from last week in Seattle by $0.40 each. However, just across the border in Vancouver, the cost of gas went up dramatically by $0.50. 
Question: Which city will have an increase in demand for gas?",Seattle will have an increase in demand for gas.,"While this is a factual answer to the question, it is not a sub-string of the question, the story or the paragraph. Instead, your answer should be as concise as possible."
Text Categorization,What's the best way to clean a keyboard?,4,"keyboard is used with a computer. Thus the category ""Computers & Internet"" is correctly classified.",How do I find an out of print book?,2,book comes under education and nowhere relates to health. Thus the topic is incorrectly classified.
Question Answering,"CONTEXT: The balance of power had shifted considerably since the first set of quotes. King Joffrey is dead, and his younger brother Tommen is now king. Unlike his wild card of an elder brother, Tommen is gentler and more prone to manipulation by his new bride. The Lannisters impeccable image has also been shattered. They failed to prevent the assassination of their king in the midst of his own wedding day, and the suspected assassin is the king's Lannister uncle. Not only do they look incompetent, they are divided among themselves. On the other hand, the Tyrells' situation is much stronger now. Tommen is already wrapped around Margaery's pretty little finger, and she knows that the assassination was orchestrated in part by her own family. In Margaery's eyes, the Lannisters look disoriented and lost. Putting on a show trial for one of their own, whom she knows is innocent of any wrongdoing. Whatever power Cersei held over Margaery has now been diminished. <sep>  Q: What was Margaery's motivation to call Cersei 'sister' again? A: Whatever power Cersei held over Margaery has now been diminished. <sep> FOLLOWUP_Q: Why has it been diminished?","King Joffrey is dead, and his younger brother Tommen is now king.",The answer why Cersei's power over Margaery has now diminished is clearly mentioned in the passage.,"CONTEXT: Logan's plan earlier in the movie was to buy a sailboat and sail to the ocean with the Professor, where they would spend their last days. Out on the sea, the Professor wouldn't pose a threat to other humans when he lost his control over his ability. If I am not mistaken the Professor liked that idea - being out on the sea. When he died and Logan buried him, it was near a lake, so he was at least near water - Since Logan was emotional about the death of the Professor these were the only words he managed to say as a kind of eulogy. <sep> Q: What was Logan's plan? A: to buy a sailboat and sail to the ocean with the Professor <sep> FOLLOWUP_Q: What do you think the significance of the water is?",Water is for giving proper burial of Professor.,"The correct answer is out on the sea, the Professor wouldn't pose a threat to other humans when he lost his control over his ability."
Data to Text," entity: arm 
before: free 
after: grasped 
attr: state",state of arm was free before and grasped afterwards,The state of the arm was free before and afterwards it was grasped hence the output is correct.,"entity: buckles 
before: being worn 
after: removed 
attr: wearing",wearing of buckles was being worn before and removed afterwards,Here wearing of buckles is grammatically incorrect and the output sentence should be the buckles were worn before and removed afterwards.
Sentence Composition,"Additionally , they donated US $200,000 to the All Souls Hospital in Morristown , New Jersey , US $100,000 of which were donated specifically by his wife .","They also supported an all girls ' school in Saint - Briac - sur - Mer , Brittany , France .","Given a coherent sentence, an incoherent previous sentence to the given sentence is generated with the same topic of the given sentence","Instead , the stadium was opened a few years later .",There is no difference in the design standard of this section compared with the rest of the expressway .,"Given a coherent sentence, an incoherent previous sentence to the given sentence is not generated with the same topic of the given sentence"
Question Understanding,What's the most common name in nursery rhymes ?,Person,"This question is about people's names. So, the output should be ""Person"".",What handicraft requires you to interlace your warp and weft ?,Abbreviation,"This question is about handicrafts, and it's not asking about abbreviations. So, the correct output should be ""Entity""."
Sentiment Analysis,"news:According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .
polarity:neutral",true,"Although the author uses negative words like 'no' in the news, there is no evidence of the news begin positive or negative for any stakeholder. Hence, the polarity is neutral and the output is True.","news:According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .
polarity:neutral",false,"Here, the news uses terms like 'sales growth' and 'profit margin' which indicates that the polarity should be positive. Hence, the output is false."
Sentiment Analysis,Event:PersonX treats PersonY's ___ well. Intent: 1) to leave a good impression over person y by doing everything perfectly well,Positive,"In the input PersonX treats PersonY's in a good way. He fells calm and pleased by the work he has done. This refers to a ""Positive"" reaction.",Event:PersonX starts to yell at PersonY. Intent: 1) to express anger 2) to vent their frustration,Positive,"This is an example of a bad output because PersonX starts yelling at a person to express his anger.The ouput sentiment average should be more towards the ""Negative"" rating rather than the ""Positive"" value."
Coreference Resolution,"He grew up in Evanston, Illinois the second oldest of five children including his brothers, Fred and Gordon and sisters, Marge (Peppy) and Marilyn. His high school days were spent at New Trier High School in Winnetka, Illinois. MacKenzie studied with Bernard Leach from 1949 to 1952. _His_ simple, wheel-thrown functional pottery is heavily influenced by the oriental aesthetic of Shoji Hamada and Kanjiro Kawai. <sep>, Pronoun: His <sep>, A: MacKenzie <sep>, B: Bernard Leach",A,"Based on the text, his refers to MacKenzie so option A is correct.","He had been reelected to Congress, but resigned in 1990 to accept a post as Ambassador to Brazil. De la Sota again ran for governor of C*rdoba in 1991. Defeated by Governor Angeloz by over 15%, this latter setback was significant because it cost De la Sota much of _his_ support within the Justicialist Party (which was flush with victory in the 1991 mid-terms), leading to President Carlos Menem 's endorsement of a separate party list in C*rdoba for the 1993 mid-term elections, and to De la Sota's failure to regain a seat in Congress. <sep>, Pronoun: his <sep>, A: Angeloz <sep>, B: De la Sota",Neither,"Based on the text, his refers to De la Sota, and Neither is incorrect."
Commonsense Classification,Head: have conversation<sep>Tail: choose subject to discuss,Yes,This is a good example. The Head includes the event of choosing a subject the Tail.,Head: PersonX asks to go home<sep>Tail: to go rest,Yes,"Asking to go home doesn't include going rest. So the output should be ""No""."
Negotiation Strategy Detection,"Context: 'Great!  So looks like all the water goes to you.  I will take all the food if that is ok and we can split the wood.  ' 'Well i would need one food and one wood' 'OK.  I think that will work out for me.  You get 3 water, 1 wood and 1 food.  I will take the rest.'
Utterance: 'Great that's an agreement for me'",No,The participant does not engage in any small talk in this utterance and primarily refers to the negotiation itself.,"Context: 'Hello! I am looking forward to the camping trip but could use a few more supplies!' 'hello, me too, i guess we can share' 'Sounds good, I need food the most, what is your most needed item?'
Utterance: 'my item is food too.'",Yes,"The purpose of the utterance is only to take the negotiation forward and there is no side talk. Hence, the correct answer is 'No'."
Summarization,"Mixed precision training (MPT) is becoming a practical technique to improve the speed and energy efficiency of training deep neural networks by leveraging the fast hardware support for IEEE half-precision floating point that is available in existing GPUs. MPT is typically used in combination with a technique called loss scaling, that works by scaling up the loss value up before the start of backpropagation in order to minimize the impact of numerical underflow on training. Unfortunately, existing methods make this loss scale value a hyperparameter that needs to be tuned per-model, and a single scale cannot be adapted to different layers at different training stages. We introduce a loss scaling-based training method called adaptive loss scaling that makes MPT easier and more practical to use, by removing the need to tune a model-specific loss scale hyperparameter. We achieve this by introducing layer-wise loss scale values which are automatically computed during training to deal with underflow more effectively than existing methods. We present experimental results on a variety of networks and tasks that show our approach can shorten the time to convergence and improve accuracy, compared with using the existing state-of-the-art MPT and single-precision floating point.",We devise adaptive loss scaling to improve mixed precision training that surpass the state-of-the-art results.,"The abstract focusses on designing an adaptive loss scaling method, hence the generated output is correct.","Mixed precision training (MPT) is becoming a practical technique to improve the speed and energy efficiency of training deep neural networks by leveraging the fast hardware support for IEEE half-precision floating point that is available in existing GPUs. MPT is typically used in combination with a technique called loss scaling, that works by scaling up the loss value up before the start of backpropagation in order to minimize the impact of numerical underflow on training. Unfortunately, existing methods make this loss scale value a hyperparameter that needs to be tuned per-model, and a single scale cannot be adapted to different layers at different training stages. We introduce a loss scaling-based training method called adaptive loss scaling that makes MPT easier and more practical to use, by removing the need to tune a model-specific loss scale hyperparameter. We achieve this by introducing layer-wise loss scale values which are automatically computed during training to deal with underflow more effectively than existing methods. We present experimental results on a variety of networks and tasks that show our approach can shorten the time to convergence and improve accuracy, compared with using the existing state-of-the-art MPT and single-precision floating point.",The paper proposes variance regularizing adversarial learning for training gans.,This summary is not appropriate as the abstract does not state anything about gans.
Wrong Candidate Generation,"Drapeau’s cohorts, the cohort would be a “victim” of making the bomb. Further, firebombs are inherently dangerous. There is no peaceful purpose for making a bomb. Felony offenses that involve explosives qualify as “violent crimes” for purposes of enhancing the sentences of career offenders. See 18 U.S.C. § 924(e)(2)(B)(ii) (defining a “violent felony” as: “any crime punishable by imprisonment for a term exceeding one year ... that ... involves use of explosives”). Courts have found possession of a'bomb to be a crime of violence based on the lack of a nonviolent purpose for a bomb and the fact that, by its very nature, there is a substantial risk that the bomb would be used against the person or property of another. See United States v. Newman, 125 F.3d 863 (10th Cir.1997) (unpublished) (<HOLDING>); United States v. Dodge, 846 F.Supp. 181,, Holding statements: (A) holding that possession of a pipe bomb is a crime of violence for purposes of 18 usc  3142f1 (B) holding that bank robbery by force and violence or intimidation under 18 usc  2113a is a crime of violence (C) holding that sexual assault of a child qualified as crime of violence under 18 usc  16 (D) holding for the purposes of 18 usc  924e that being a felon in possession of a firearm is not a violent felony as defined in 18 usc  924e2b (E) holding that a court must only look to the statutory definition not the underlying circumstances of the crime to determine whether a given offense is by its nature a crime of violence for purposes of 18 usc  16",holding that bank robbery by force and violence or intimidation under 18 usc  2113a is a crime of violence ,"It's a good example. Based on the given prompt, holding that possession of a pipe bomb is a crime of violence for purposes of 18 usc  3142f1 is correct.","property tax sale. In reviewing section 6323(b)(6), this Court noted that it provides that a county’s tax lien has priority over a federal lien, and thus, Taylor purchased the property still subject to the county’s lien. Taylor v. Mill, 310 S.C. 526, 528, 426 S.E.2d 311, 312 (1992). Thus, this Court has already noted that section 6323 operates to establish priority, not extinguish ection in this manner will stifle tax sales, potential buyers must research tax sale property purchases and would be put on notice of any federal tax liens. Finally, Appellants argue that the master erred by not giving section 6323, a more specific statute, priority over section 7425, a general statute. See Capco of Summerville, Inc. v. J.H. Gayle Constr. Co., 368 S.C. 137, 142, 628 S.E.2d 38, 41 (2006) (<HOLDING>). While this is a correct statement of the law,, Holding statements: (A) holding that where there is a conflict between statutes the more recent statute is controlling and a specific provision prevails over a general provision relating to the same subject matter (B) holding that specific statutory provisions take priority over general statutory provisions (C) holding wills more specific provision prevails over general provision (D) recognizing that a specific statute controls over a general one (E) holding that a specific statutory provision prevails over a more general one",holding that a specific statutory provision prevails over a more general one,This prompt holds that a specific statutory provision prevails over a more general one. Note that the task is to generate an incorrect answer..
Text Categorization,"Arrived broken. Manufacturer defect. Two of the legs of the base were not completely formed, so there was no way to insert the casters. I unpackaged the entire chair and hardware before noticing this. So, I'll spend twice the amount of time boxing up the whole useless thing and send it back with a 1-star review of part of a chair I never got to sit in. I will go so far as to include a picture of what their injection molding and quality assurance process missed though. I will be hesitant to buy again. It makes me wonder if there aren't missing structures and supports that don't impede the assembly process.",furniture,The customer gives a review of the product which belongs to the furniture category because we can see it from the way the customer describes his experience sharing how he unpackaged his chair.,Took way too long for these seeds to arrive and for only a single one to germinate is even more disappointing! Not worth the $,electronics,"The product belongs to the category related to gardening. So, it's a wrong category."
Grammar Error Correction,"['hey', 'everybody', 'ivan', 'from', 'weights', 'and', 'biases', 'here', 'in', 'this', 'video', ""i'd""]","['Hey', 'everybody,', 'Ivan', 'from', 'Weights', '&', 'Biases', 'here.', 'In', 'this', 'video', ""I'd""]",This sentence is a good example since the input stream is grammatically incorrect statement and the output stream is grammatically correct.,"['i', 'love', 'the', 'fact', 'that', 'when', 'you', 'develop', 'really', 'novel', 'ai', 'techniques']","['i', 'love', 'the', 'fact', 'that', 'when', 'you', 'develop', 'really', 'novel', 'ai', 'techniques']","This sentence is a bad example since it does not change the grammatically incorrect input stream at all. The first word (i) should be capitalized, the last word (techniques) must have a period appended to it and (ai) needs to be changed to AI."
Fill in The Blank,PersonX sees ___ in the wild,tiger,This is a good example. The output is a correct answer for this question.,PersonX spends ___ listening,Bag,"In this example, spending bag doesn't make sense. So this answer is not acceptable."
